TrainStep,TrainLoss,TrainStep,TrainAccuracy
990,1.41091,990,0.67
991,1.30177,991,0.79
992,1.34563,992,0.75
993,1.48251,993,0.64
994,1.61537,994,0.55
995,1.4672,995,0.71
996,1.38913,996,0.74
997,1.42009,997,0.73
998,1.33556,998,0.75
999,1.44645,999,0.76
1000,1.2273,1000,0.79
1001,1.51909,1001,0.67
1002,1.3993,1002,0.67
1003,1.46981,1003,0.66
1004,1.68052,1004,0.62
1005,1.51343,1005,0.59
1006,1.72597,1006,0.55
1007,1.73565,1007,0.62
1008,1.43003,1008,0.76
1009,1.45616,1009,0.74
1010,1.45534,1010,0.75
1011,1.55043,1011,0.5
1012,1.79466,1012,0.52
1013,1.46818,1013,0.61
1014,1.48319,1014,0.68
1015,1.37156,1015,0.65
1016,1.3995,1016,0.64
1017,1.45949,1017,0.67
1018,1.33483,1018,0.61
1019,1.57727,1019,0.61
1020,1.44994,1020,0.62
1021,1.36368,1021,0.71
1022,1.3733,1022,0.73
1023,1.23484,1023,0.8
1024,1.48359,1024,0.76
1025,1.3088,1025,0.75
1026,1.48988,1026,0.58
1027,1.75367,1027,0.55
1028,1.54575,1028,0.58
1029,1.69898,1029,0.62
1030,1.67391,1030,0.61
1031,1.46331,1031,0.7
1032,1.31584,1032,0.7
1033,1.30497,1033,0.72
1034,1.38791,1034,0.71
1035,1.3877,1035,0.67
1036,1.66305,1036,0.63
1037,1.26875,1037,0.81
1038,1.27484,1038,0.83
1039,1.16457,1039,0.79
1040,1.25514,1040,0.76
1041,1.53168,1041,0.63
1042,1.52226,1042,0.66
1043,1.67348,1043,0.62
1044,1.41997,1044,0.7
1045,1.32591,1045,0.71
1046,1.27078,1046,0.69
1047,1.37225,1047,0.74
1048,1.14877,1048,0.77
1049,1.58166,1049,0.5
1050,2.02352,1050,0.55
1051,1.51293,1051,0.61
1052,1.60911,1052,0.63
1053,1.65725,1053,0.69
1054,1.36838,1054,0.72
1055,1.32713,1055,0.66
1056,1.50698,1056,0.7
1057,1.39805,1057,0.72
1058,1.36502,1058,0.71
